 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Major when last enrolled 1998 (12 cat),,,,,,,,,,,,,,
  Undeclared/no major,7.2459,3.8022,5.3152,0.3355,0.9072,0,0.076,4.4192,0.6745,3.2981,2.6378,0.0307,2.1334,
  Humanities,3.0825,2.7547,0.9039,0.587,0.2219,0.2823,0.1931,0.6839,1.4675,0.8962,0.7425,0.104,1.987,
  Social/behavioral sciences,3.1367,1.8751,2.1845,0.6509,0.116,0.1446,0.638,0.3682,1.1995,1.0275,1.2397,0.026,1.2805,
  Life sciences,4.3133,3.4704,0.7625,4.2173,0.8777,0.1425,0,0.497,0.4323,1.2949,3.7303,0,1.3462,
  Physical sciences,8.3528,1.8787,2.9203,6.0216,5.9331,0.4492,0,2.3387,1.9164,1.1194,1.1818,0.6752,0.4457,
  Mathematics,8.5394,8.1544,11.4707,3.6564,3.1694,3.8554,0,4.2508,2.4866,9.9141,6.2903,0,4.2317,
  Computer/information science,6.162,2.4494,0.6873,1.206,0.1785,2.3097,3.8801,2.5009,0.4172,3.9253,0.7435,0.5968,2.0498,
  Engineering,4.5683,3.0188,0.0546,0.459,0.4296,0.0713,0.3379,5.7103,0.487,0.5114,0.3514,1.0247,1.5757,
  Education,3.8523,2.3101,1.7669,0.5201,0.1094,0.4415,0.7309,0.258,2.5808,0.6137,0.69,0,4.0535,
  Business/management,2.9519,1.0909,0.578,0.4677,0.1424,0.1792,0.5785,1.2539,0.3659,3.3567,1.3562,0.2693,1.4667,
  Health,4.0163,2.0693,1.0867,1.084,0.2091,0.0593,0,0.7307,1.5172,1.3514,3.492,0.1195,1.0701,
  Vocational/technical,3.9233,3.1551,0.5841,0.7036,0,0,0.4037,3.1268,0.6401,2.9445,0.44,5.3972,4.3908,
  Other technical/professional,2.9249,1.3115,0.59,0.8167,0.0677,0.1345,0.4068,0.321,0.5356,1.5701,1.1998,0.1959,3.2,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
"Weighted Sample sizes(n/1,000s)",,,,,,,,,,,,,,
    Total,3306.1907,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
Major when last enrolled 1998 (12 cat),,,,,,,,,,,,,,
  Undeclared/no major,123.5485,,,,,,,,,,,,,
  Humanities,276.5657,,,,,,,,,,,,,
  Social/behavioral sciences,278.9709,,,,,,,,,,,,,
  Life sciences,138.1252,,,,,,,,,,,,,
  Physical sciences,30.3899,,,,,,,,,,,,,
  Mathematics,24.0824,,,,,,,,,,,,,
  Computer/information science,111.5174,,,,,,,,,,,,,
  Engineering,188.0942,,,,,,,,,,,,,
  Education,212.0474,,,,,,,,,,,,,
  Business/management,456.5345,,,,,,,,,,,,,
  Health,268.819,,,,,,,,,,,,,
  Vocational/technical,139.8046,,,,,,,,,,,,,
  Other technical/professional,315.9865,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,
